Timestamp,Location,Family member,Age,Male members,Female members,Building age,Land size,Male guest room,Female guest room,Living room,Outside room,,total family members ,,,,
2019/05/22 11:57:28 am GMT-6,2.00,2.00,31.00,1.00,2.00,2015.00,250.00,3.00,5.00,360.00,360.00,,3.00,,,,
2019/05/22 12:08:42 pm GMT-6,2.00,1.00,31.00,2.00,3.00,2002.00,400.00,10.00,0.00,360.00,0.00,,5.00,,,,
2019/05/23 2:40:26 am GMT-6,2.00,1.00,31.00,2.00,1.00,2014.00,300.00,10.00,0.00,360.00,0.00,,3.00,,,,
2019/05/24 5:55:14 pm GMT-6,3.00,1.00,31.00,3.00,5.00,2017.00,400.00,1.00,0.00,360.00,0.00,,8.00,,,,
2019/05/24 7:07:18 pm GMT-6,5.00,2.00,31.00,2.00,1.00,1994.00,750.00,2.00,2.00,360.00,0.00,,3.00,,,,
2019/05/25 2:44:17 am GMT-6,3.00,1.00,31.00,3.00,2.00,2008.00,560.00,20.00,10.00,360.00,360.00,,5.00,,,,
2019/05/25 6:37:55 pm GMT-6,5.00,1.00,31.00,0.00,2.00,2004.00,500.00,20.00,15.00,360.00,0.00,,2.00,,,,
2019/05/22 11:48:23 am GMT-6,1.00,1.00,32.00,3.00,0.00,2013.00,300.00,5.00,0.00,360.00,360.00,,3.00,,,, 
2019/05/22 11:49:26 am GMT-6,1.00,2.00,32.00,5.00,3.00,2016.00,411.00,0.00,0.00,300.00,0.00,,8.00,,,,
2019/05/22 11:50:43 am GMT-6,2.00,2.00,32.00,0.00,0.00,2019.00,360.00,5.00,0.00,360.00,0.00,,0.00,,,,
2019/05/22 11:51:46 am GMT-6,2.00,2.00,32.00,4.00,2.00,2012.00,500.00,6.00,10.00,360.00,0.00,,6.00,,,,
2019/05/22 12:56:07 pm GMT-6,2.00,3.00,32.00,1.00,3.00,2012.00,420.00,6.00,0.00,360.00,60.00,,4.00,,,,
2019/05/23 9:47:24 pm GMT-6,1.00,1.00,32.00,2.00,2.00,2013.00,800.00,104.00,52.00,360.00,0.00,,4.00,,,,
2019/05/24 12:36:53 pm GMT-6,2.00,1.00,32.00,2.00,1.00,2014.00,230.00,0.00,5.00,360.00,0.00,,3.00,,,,
2019/05/24 6:07:40 pm GMT-6,4.00,3.00,32.00,3.00,5.00,2002.00,300.00,5.00,12.00,360.00,360.00,,8.00,,,,
2019/05/24 8:49:10 pm GMT-6,5.00,1.00,32.00,3.00,2.00,2016.00,500.00,8.00,20.00,360.00,8.00,,5.00,,,,
2019/05/22 11:55:22 am GMT-6,4.00,1.00,33.00,3.00,2.00,1989.00,500.00,20.00,30.00,360.00,300.00,,5.00,,,,
2019/05/22 12:03:04 pm GMT-6,1.00,1.00,33.00,0.00,1.00,2018.00,150.00,3.00,0.00,360.00,0.00,,1.00,,,,
2019/05/23 6:01:16 am GMT-6,2.00,2.00,33.00,3.00,1.00,2012.00,300.00,5.00,0.00,360.00,0.00,,4.00,,,,
2019/05/24 1:17:39 pm GMT-6,1.00,1.00,33.00,2.00,1.00,1995.00,300.00,1.00,3.00,30.00,360.00,,3.00,,,,
2019/05/24 1:24:21 pm GMT-6,2.00,1.00,33.00,0.00,3.00,2017.00,344.00,2.00,0.00,180.00,180.00,,3.00,,,,
2019/05/24 5:50:37 pm GMT-6,2.00,1.00,33.00,2.00,1.00,2016.00,220.00,3.00,4.00,360.00,360.00,,3.00,,,,
2019/05/24 5:53:34 pm GMT-6,3.00,3.00,33.00,5.00,4.00,2017.00,4200.00,20.00,50.00,360.00,0.00,,9.00,,,,
2019/05/24 6:46:27 pm GMT-6,4.00,2.00,33.00,2.00,3.00,2001.00,300.00,30.00,5.00,300.00,200.00,,5.00,,,,
2019/05/24 7:25:55 pm GMT-6,4.00,2.00,33.00,2.00,2.00,2013.00,750.00,30.00,20.00,360.00,360.00,,4.00,,,,
2019/05/24 7:45:49 pm GMT-6,4.00,2.00,33.00,1.00,1.00,2019.00,480.00,20.00,0.00,360.00,300.00,,2.00,,,,
